item,name,positionItem,position,startDate,endDate,source,sourceDate,psid
Q112062381,André Latou,Q112062121,Ministre des Mines et Énergie,1999-11-02,2001-04-06,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062381-7C711118-85EC-41B2-BD58-9FD7A2444C4E
Q112062386,Aristide Sokambi,Q112062125,"Ministre de l’Équipement, de l’Aménagement du territoire et Urbanisme",1999-11-02,2000-04-17,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062386-75D9C65F-440C-46F1-8C99-D3B9DB25A4FA
Q112062388,Bernard Yoro,Q112062160,Ministre de la Jeunesse et des Sports,1999-11-02,2001-04-06,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062388-535C30A1-DF7B-4FA1-BBDB-DEA98A554BF7
Q112062391,Jean Bruno Vickos,Q112062108,Ministre de la Poste et des Télécommunications,1999-11-02,2001-04-06,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062391-9969FCAB-EABA-481D-A438-E566C33C5CF9
Q112062392,Daniel Emery Dede,Q112062105,Ministre de l’Agriculture et de l’élevage,1999-11-02,2000-04-17,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062392-8C2383BF-745C-43CE-8A73-06930A0A3337
Q112062399,Francis Albert Ouakanga,Q112062110,Ministre de la Communication,1999-11-02,2001-04-06,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062399-A8DDD232-6086-4815-B1E8-FD62A5B715E0
Q112062408,Jean-Jacques Démafouth,Q112062115,Ministre de la Défense,1999-11-02,2001-08-26,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062408-658CE0A2-8AF3-4BA0-A897-56A954883DEC
Q112062409,Jean-Baptiste Koyassambia,Q112062133,"Ministre du Commerce, de l’Industrie et de la promotion du secteur privé",1999-11-02,2001-04-06,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062409-5D0B31A4-5FFA-4B5C-B5AA-9D2DABF9FA95
Q112062421,Maurice Regonessa,Q112062134,Ministre de l’Intérieur,1999-11-02,2001-04-06,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062421-26C8F9C7-A685-487E-B0DF-AD8486FFE5BE
Q112062428,Nathalie Constance Gounebana,Q112062152,Ministre du Tourisme,1999-11-02,2001-04-06,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062428-6569438B-4872-4EC6-9219-954C662CD0BF
Q112062434,Rachel Dea Nambona,Q112062126,"Ministre des Affaires sociales, Promotion de la famille et des personnes handicapées",1999-11-02,2000-04-17,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062434-2D9A106E-413B-4A5B-8988-489CC41911EA
Q112062435,Richard Lakoue,Q112062130,Ministre de la Santé publique et de la Population,1999-11-02,2001-04-06,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062435-59860854-9C91-4566-AAD8-A2852250575F
Q112062441,Théodore Dabanga,Q112063562,Ministre délégué aux Finances,1999-11-01,2000-04-16,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062441-01103BD4-2EC6-4C31-8157-C744D3BCDCA2
Q112062442,Timoléon Mbaikoua,Q112062131,Ministre de l’Enseignement supérieur et Recherche scientifique,1999-11-02,2003-03-15,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112062442-32599035-8024-4CAE-A1FB-E5E2763C6FE0
Q112063567,Godeffroy Mokamanede,Q112062106,Ministre de la Fonction publique et Emploi,1999-11-01,2000-04-16,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112063567-057AA91D-A53F-41D1-8E71-4177677328E0
Q112063573,Désiré Pendemon,Q112063574,Ministre des Transports et Aviation civile,1999-11-01,2000-04-16,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112063573-E1190F7D-AF62-4441-9A82-5ED423AB07CC
Q112063576,Denis Wangao Kizimale,Q112062139,Ministre de la Justice,1999-11-01,2000-04-16,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112063576-11B7B9B3-7628-4785-A906-AECCD736F581
Q112063579,Bello Mamadou,Q112063580,Ministre délégué chargé des relations avec le monde arabe,1999-11-01,2000-04-16,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112063579-DE767BDC-8B73-4785-B06C-F416F6548CC1
Q112063583,Armand Sama,Q112062132,"Ministre des Logements, Édifices publics",1999-11-01,2000-04-16,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q112063583-28FB7CB9-873C-40E2-BE39-A8024BFE85AB
Q1930736,Michel Gbézéra-Bria,Q112062145,Ministre des Affaires présidentielles,1999-11-02,2001-04-06,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q1930736-6115A2AD-A9D0-4A8D-9102-69C3DBA6292B
Q19629676,Éloi Anguimate,Q112062120,Ministre de l’Éducation nationale,1999-11-02,2001-04-06,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q19629676-F5E007EB-C443-4776-AF37-A42B50E7BAD0
Q2826508,Agba Otikpo Mézodé,Q112062114,"Ministre de la Promotion de la Culture civique, chargé des relations avec le Parlement",1999-11-01,2000-04-16,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q2826508-7B7B231B-923B-4B05-89F1-2D5A79BB6F65
Q546278,Anicet-Georges Dologuélé,Q16773091,Prime Minister of the Central African Republic,1999-01-04,2001-04-01,,,Q546278-BD762403-F8DF-449E-A639-A8E45F5F2B3F
Q6168974,Jean-Baptiste Nouganga,Q112062123,"Ministre de l’Environnement, des Eaux, Forêts, Chasse, Pêche",1999-11-02,2000-04-17,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q6168974-B12D88D6-37E2-41C4-B639-3E029AF5E542
Q6756173,Marcel Météfara,Q18204366,Ministre des Affaires étrangères et Francophonie,1999,2001,https://fr.wikipedia.org/wiki/Gouvernement_Dologu%C3%A9l%C3%A9_II,2022-05-18,Q6756173-EDBEE23F-8784-42A7-8C83-CED4DAC97F3F
