@@,name,position
->,Élie Doté,"Prime Minister of the Central African Republic->Premier ministre, chef du Gouvernement, Ministre des Finances et du Budget"
->,Sylvain Maliko,"Minister of Economy, Planning and International Cooperation->Ministre de l'Économie, du Plan et de la Coopération Internationale"
->,Paul Otto,Minister of Justice->Ministre de la Justice
->,Côme Zoumara,"Minister of Foreign Affairs->Ministre des Affaires Étrangères, de l'Intégration Régionale et de la Francophonie"
->,Charles Massi,"Minister of Works, Civil Aviation and Transport->Ministre d'État au Développement rural"
---,Émilie Béatrice Epaye,Minister of Industry and Trade
---,Théodore Dabanga,Minister of Finance
---,Sylvain Mbutingaye,Minister of Energy and Mines
---,Solange Pagonéndji N'dackala,"Minister of Family, Social Affairs and National Solidarity"
---,Job Izima,"Minister of Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights"
---,Jacques Voti,"Minister of Civil Service, Labour and Social Security"
---,Fidèle Gounadjika,"Minister of Posts and Telecommunications, New Technologies"
---,Faustin-Archange Touadéra,Prime Minister of the Central African Republic
---,Dieudonné-Stanislas M’Bangot,Minister of Relations with the Parliament
---,Dieudonné Kombo Yaya,Minister of Foreign Affairs
---,Desire Kolingba,Minister of Youth and Sport
---,Anne-Marie N'gouyombo,Minister of Tourism and Craft Industry Development
+++,"le Général d'Armée François Bozizé, Chef de l’État","Ministre de la Défense nationale, des Anciens combattants, des Victimes de guerre, du Désarmement et de la Restructuration de l'Armée"
+++,Timoléon Mbaïkoua,"Ministre de la Reconstruction des Édifices Publics, de l'Urbanisme et du Logement"
+++,Rosalie Koudounguere,"Ministre du Commerce, de l'Industrie et des PME"
+++,Nicolas Nganzé Doukou,Ministre délégué auprès du ministre des Finances
+++,Mme Yvonne Mboïssona,Ministre du Développement du Tourisme et de l'Artisanat
+++,Marie-Solange Pagonéndji Ndakala,Ministre des Affaires Sociales
+++,Marie-Reine Hassen,"Ministre délégué auprès du ministre des Affaires Étrangères, de l'Intégration Régionale et de la Francophonie"
+++,Lieutenant-colonel Michel Sallé,Ministre de l'Intérieur et de la Sécurité Publique
+++,Laurent N'gon-Baba,Ministre chargé du Secrétariat général du gouvernement et des Relations avec le Parlement
+++,Jean-Prosper Wodobodé,Ministre de l'Équipement et du désenclavement
+++,Jacques Boti,Ministre de la Fonction Publique
+++,Fidèle Gouandjika,"Ministre des Postes et Télécommunications, chargé des Nouvelles technologies"
+++,Emmanuel Bizzo,"Ministre aux Eaux, Forêts, Chasses et Pêche, chargé de l'Environnement"
+++,Désiré Kolingba,"Ministre de la Jeunesse, des Sports"
+++,Dr Lala Konamna,Ministre de la Santé Publique et de la population
+++,Dr David Banzokou,Ministre délégué au près du ministre d'État chargé de l'agriculture
+++,Commandant Sylvain N'doutingaï,Ministre des Mines et de l'Énergie
+++,Charles-Armel Doubane,Ministre de l'Éducation Nationale
+++,Aurélien-Simplice Zingas,"Ministre délégué auprès du Premier ministre, porte-parole du gouvernement"
+++,Abdou Karim Mekassoua,"Ministre d'État de la Communication, de la Réconciliation Nationale, à la Culture Démocratique et à la Promotion des droits de l'Homme"
