@@,name,position
->,Idriss Salao,"Minister of Posts and Telecommunications, New Technologies->Ministre des Postes et Télécommunications"
->,Didier Wangué,Minister of Trade->Ministre du Commerce
->,Célestin Gaombalet,"Prime Minister of the Central African Republic->Premier ministre, chef du Gouvernement"
->,Charles Hervé Wénézoui,Minister of Foreign Affairs->Ministre des Affaires étrangères
->,Bruno Dacko,Minister of Tourism and Craft Industry Development->Ministre du Développement du tourisme
---,Élie Doté,Prime Minister of the Central African Republic
---,Sylvain Mbutingaye,Minister of Energy and Mines
---,Solange Pagonéndji N'dackala,"Minister of Family, Social Affairs and National Solidarity"
---,Nestor Mamadou Nali,Minister of Public Health and Population
---,Mpokomanji Soli,Minister of Equipment and Transport
---,Jean-Paul Ngoupandé,Minister of Foreign Affairs
---,Jacques Voti,"Minister of Civil Service, Labour and Social Security"
---,Desire Kolingba,Minister of Youth and Sport
---,Daniel Nditifei Boysembe,"Minister of Economy, Finance and Planning"
---,Abraham Gotobulu,Minister of Housing and Town Planning
+++,lieutenant-colonel Parfait-Anicet M'Bay,Ministre de l'Agriculture
+++,"le Général d'Armée François Bozizé, Chef de l’État","Ministre de la Défense nationale, des Anciens combattants, des Victimes de guerre, du Désarmement et de la Restructuration de l'Armée"
+++,commandant Sylvain N'Doutingaï,"Ministre de l'Énergie, des Mines et de l'Hydraulique"
+++,colonel Mohamed Mahadi Marboua,"Ministre délégué au Plan, à l'Économie et aux Finances"
+++,colonel Michel Sallé,Ministre de l'Intérieur
+++,colonel Jules-Bernard Ouandé,Ministre délégué à l'Intérieur
+++,Zarambaud Assingambi,Ministre chargé du Secrétariat général du gouvernement
+++,Sonny M'Pokomandji,Ministre de l'Équipement et des Transports
+++,Solange Pagonéndji N'Dackala,"Ministre de la Famille, des Affaires sociales"
+++,Nestor Mamadou-Nali,Ministre de la Santé publique
+++,Mme Léa Doumta,Ministre de la Justice
+++,Joseph Kiticki Kouamba,Ministre de la Communication
+++,Jacques Boti,Ministre de la Fonction publique
+++,Guy Moskit,Ministre délégué aux Affaires étrangères
+++,Etienne-Jocelyn Natalo,Ministre délégué à l'Éducation nationale
+++,Désiré Kolingba,Ministre de la Jeunesse et des Sports
+++,Denis Kossi-Bella,Ministre des Eaux et Forêts
+++,Daniel N'Ditiféï-Boysémbé,"Ministre du Plan, de l'Économie et des Finances"
+++,Abraham Ngotto Bouloum,Ministre de la Reconstruction des édifices publics et de l'Urbanisme
+++,Abdoul Karim Meckassoua,Ministre d'État à l’Education nationale
