@@,name,position,gender,item
->,Samuel Rangba,Minister of Foreign Affairs->Ministre des affaires étrangères de l’intégration africaine et de la francophonie,male,Q99352338
->,Mahamat Kamoun,Prime Minister of the Central African Republic->Premier ministre,male,Q17497078
---,Simplice Sarandji,Prime Minister of the Central African Republic,male,Q23729455
---,Léonie Banga-Bothy,Minister of Foreign Affairs,female,Q27898988
+++,Sébastien Wénézoui,"Ministre de l’environnement, de l’écologie et du développement durable",,
+++,Odile Zitongo,Ministre de la Fonction publique,,
+++,Nicaise Karnou-Samedi,Ministre de La jeunesse et des sports,,
+++,Modibo Bachir Walidou,Ministre de l’administration du territoire de la décentralisation et régionalisation,,
+++,Michel Bindo,"Ministre délégué auprès du Ministre de l’Économie, du Plan et de la Coopération internationale, chargé des Pôles de Développement",,
+++,"Mauricette Joséphine Monthé, née Psimhis",Ministre du tourisme des arts de la culture et de l’artisanat,,
+++,Margueritte Samba Maliavo,Ministre de la santé et de la population,,
+++,Mahamat Tahïb Yakoub,Ministre délégué à l’élevage,,
+++,Laurent Clair Maléfou,"Ministre chargé des Travaux, de l’Equipement et de l’aménagement du territoire",,
+++,Joseph Bindoumi,"Ministre de la Défense Nationale, de la Restructuration des Armées, des Anciens Combattants et Victimes de Guerre",,
+++,Joseph Agbo,Ministre des mines et de la géologie,,
+++,Jacques Démanga-Kamoune,Ministre de l’urbanisme et des édifices publics,,
+++,Guy-Marc Mokopété,Ministre chargé du secrétariat du gouvernement des relations avec les institutions,,
+++,Gertrude Zouta,Ministre du commerce de l’industrie et des petites et moyennes entreprises,,
+++,Gaston Makouzangba,"Ministre du travail, de la sécurité sociale et de l’emploi",,
+++,Florence Lydie Ndouba,"Ministre de la réconciliation nationale, du dialogue politique et de la promotion de la culture civique",,
+++,Florence Limbio,Ministre de l’économie du plan et de la coopération internationale chargé des pôles de développement,,
+++,Eugénie Yarafa,Ministre affaires sociales de la promotion du genre et de l’action humanitaire,,
+++,Dominique Saïd Panguindji,"Ministre de la Justice, Garde des Sceaux, Chargé de la Reforme Judiciaire et des Droits de l’Homme, Porte-parole du Gouvernement",,
+++,Célestin Yanindji,"Ministre délégué auprès du Ministre des finances, chargé du budget",,
+++,Chrysostome Sambia,Ministre de la Sécurité Publique et de l’émigration-immigration,,
+++,Charlotte Isabelle Gaudeuille,Ministre des eaux forêts chasses et pêches,,
+++,Bruno Yapandé,Ministre de la Communication,,
+++,Bounandélé Koumba,Ministre des postes des télécommunications chargé des nouvelles technologies,,
+++,Bernard Simiti,Ministre de l’éducation Nationale et de l’enseignement supérieur et de la recherche scientifique,,
+++,Assane Abdallah Kadré,Ministre des finances et du budget,,
+++,Arnaud Djoubane Abazène,Ministre des transports et de l’aviation civile,,
+++,Armel Ningatoloum Sayo,Ministre de l’habitat et du logement,,
