name,position
Martin Ziguélé,"Premier ministre, chef du Gouvernement, Ministre des Finances"
Gabriel Jean-Edouard Koyambounou,"Ministre d’État chargé de la Communication, Postes et Télécommunications, chargé des nouvelles Technologies, de la Culture et de la Francophonie"
Eric Sorongopé,Ministre d'État chargé du Budget
Joseph Vermont Tchendo,"Ministre d'État, Conseiller spécial de la Présidence de la République"
Marcel Loudégué,Ministre chargé du Secrétariat Général du Gouvernement
Martial Beti Marace,Ministre Affaires étrangères
Général Maurice Regonessa,Ministre de la Défense nationale
Jacquesson Mazette,Ministre de l’Intérieur et Sécurité publique
Marcel Météfara,Ministre de la Justice
Laurent Ngon Baba,"Ministre de la Fonction publique, Emploi et Prévoyance sociale"
Constance Nathalie Gounébana,"Ministre des Eaux, Forêts, Chasse, Pêche, Environnement et Tourisme"
Salomon Namkoséréna,Ministre chargé de la Promotion du monde rural
André Tobi Kotazo,"Ministre de l’Équipement, de l’Aménagement, des Transports, chargé du Désenclavement"
Michel Docko,Ministre chargé des Relations avec le Parlement
André Nalké Dorogo,"Ministre des Mines, de l’Énergie et de l’Hydraulique"
Timoléon M'baikoua,Ministre de Éducation nationale et de l’Enseignement supérieur
Mme Françoise Ibrahim,"Ministre des Affaires sociales, Promotion des Femmes, Jeunes, chargé de la réinsertion des handicapés"
Jean Dominique N'darata,Ministre de la Jeunesse et des Sports
Joseph Kalité,Ministre de la Santé publique et Population
Jacob M'Baitadjim,"Ministre du Commerce et de l’Industrie, chargé de la promotion du secteur privé"
Alexis N'Gomba,Ministre du Plan et de la coopération internationale
Espéré Abraham Langou,Ministre délégué chargé de l'Administration du Territoire
Lieutenant Colonel Jérôme Bouda,Ministre délégué chargé de la restructuration des armées
Lazare Dokoula,Ministre délégué aux Finances et au Budget
Clément Eregani,Ministre délégué au Plan et à la coopération internationale
Victor Boucher,Ministre délégué aux Affaires étrangères
Marguerite Koffio,Ministre délégué à la Francophonie
Binga Bassoukpalo,Ministre délégué à l'Équipement
André Ringui le Gaillard,Ministre délégué à l'Éducation nationale
Jean-Michel Mandaba,Ministre délégué à l'Environnement et au Tourisme
